id,title,author,image,price,category,stock,description,created_at,updated_at,sales_count
B001,Java Programming for Beginners,Mark Lassoff,https://books.google.com/books/content?id=3RhKDwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,158043,Computers,30,"Java Programming for Beginners is an introduction to Java programming, taking you through the Java syntax and the fundamentals of object-oriented programming. About This Book Learn the basics of Java ",2026-04-06 16:04:27,2026-04-06 16:04:27,240
B002,Java Programming,Unknown,https://books.google.com/books/content?id=dfFkof6ywn0C&printsec=frontcover&img=1&zoom=1&fife=w800,180039,General,49,,2026-04-06 16:04:27,2026-04-06 16:04:27,206
B003,Internet & Java Programming,Harish Kumar Taluja,https://books.google.com/books/content?id=JnQftiYLghcC&printsec=frontcover&img=1&zoom=1&fife=w800,187075,General,13,,2026-04-06 16:04:27,2026-04-06 16:04:27,231
B004,"Introduction to Java Programming, 2nd Edition",Prof. Sham Tickoo,https://books.google.com/books/content?id=NtkDEAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,109720,Computers,15,Introduction to Java Programming is a book for software developers to familiarize them with the concept of object-oriented programming (OOP). The book enables the reader to understand the basic featur,2026-04-06 16:04:27,2026-04-06 16:04:27,132
B005,"Introduction to Java Programming, Comprehensive Version 2014-2015",Harry Hariom Choudhary,https://books.google.com/books/content?id=n8-YAgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,154862,Computers,65,"Made Java Skills Easy !! @_@ _______________________ Introduction to Java Programming, Comprehensive Version (8Th & 10th Best Selling Edition) Easy Standard Special Beginner’s To Expert Edition for St",2026-04-06 16:04:27,2026-04-06 16:04:27,264
B006,Introduction to Java Programming,K. Somasundaram,https://books.google.com/books/content?id=wVJ7AgAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,130648,Computers,25,"This book is intended for a one-semester, beginner’s level course on Java programming. It includes the new features included in JDK1.7. Each of its 16 chapters provide review questions for the readers",2026-04-06 16:04:27,2026-04-06 16:04:27,86
B007,Teach Yourself Java Programming in 31 Days :,Harry. H. Chaudhary.,https://books.google.com/books/content?id=cy1MBAAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,142763,Computers,81,"Essential Java Skills--Made Easy! What Special – In this book I covered and explained several topics of latest Java 8 Features in detail for Developers & Fresher’s, Topics Like– Lambdas. || Java 8 Fun",2026-04-06 16:04:27,2026-04-06 16:04:27,156
B008,Java Programming For Dummies,"Donald Koosis, David Koosis",https://books.google.com/books/content?id=ea5EKQAACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,126062,Computers,30,"Java Programming ""Cheat Sheet"" Inside! Everything You Need to Create Java 2 Applets! If you want to use Java 2 — and not just read about it — this is the book for you. Find out how to add oomph and in",2026-04-06 16:04:27,2026-04-06 16:04:27,262
B009,Java Programming for Spatial Sciences,Jo Wood,https://books.google.com/books/content?id=cUIJtNaCww4C&printsec=frontcover&img=1&zoom=1&fife=w800,187993,Computers,37,The Java programming language has been one of the most exciting internet-friendly technologies to emerge in the last decade. Java Programming for Spatial Sciences introduces the subject to those who w,2026-04-06 16:04:27,2026-04-06 16:04:27,275
B010,Java Programming for Beginners,Martin Laredo,https://books.google.com/books/content?id=ilpJMQAACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,179861,General,67,"Java Programming For BeginnersJava is one of the more simpler programming languages to use because you are not going to need to have several windows open just to create one line of code. Instead, ever",2026-04-06 16:04:27,2026-04-06 16:04:27,75
B011,Practical Java,Peter Haggar,https://books.google.com/books/content?id=iWPeqljHNcoC&printsec=frontcover&img=1&zoom=1&fife=w800,167266,Computers,48,Índice abreviado: General techniques -- Objects and equality -- Exception handling -- Performance -- Multithreading -- Classes and interfaces -- Appendix: learning Java.,2026-04-06 16:04:27,2026-04-06 16:04:27,287
B012,The Java Programming Language,"Ken Arnold, James Gosling",https://books.google.com/books/content?id=uP01mxirRWAC&printsec=frontcover&img=1&zoom=1&fife=w800,85914,Computers,56,"Part of The Java Series, The Java Programming Language is the definitive technical guide to the Java language. Ken Arnold and James Gosling explain Java's design motivations and tradeoffs, while prese",2026-04-06 16:04:27,2026-04-06 16:04:27,220
B013,Java Programming,"Gary B. Shelly, Thomas J. Cashman, Joy Starks",https://books.google.com/books/content?id=vedzht4HnIcC&printsec=frontcover&img=1&zoom=1&fife=w800,148231,Computers,82,"This new edition employs the Shelly Cashman Series' proven step-by-step approach to learning, presenting difficult Java programming concepts in a straightforward and exciting way! The new layout and d",2026-04-06 16:04:27,2026-04-06 16:04:27,54
B014,Java Programming,Icode Academy,https://books.google.com/books/content?id=QpQ2MQAACAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,168229,General,72,***** Add to Cart NOW: $9.97 ***** ***** Normally priced: $17.97 ***** Are You Ready To Learn Java Easily? Java is actually a decent programming language developed at Sun Microsystems. It was original,2026-04-06 16:04:27,2026-04-06 16:04:27,224
B015,The Java Tutorial,"Mary Campione, Kathy Walrath, Alison Huml",https://books.google.com/books/content?id=rl6SFYAdL6YC&printsec=frontcover&img=1&zoom=1&fife=w800,193758,Computers,70,"Based on the online version that has become one of the world's most visited programmer documentation sites, this is a remarkably clear, practical, hands-on introduction to the Java 2 Platform. The bon",2026-04-06 16:04:27,2026-04-06 16:04:27,77
B016,Java Programming,"Joe Wigglesworth, Paula McMillan",https://books.google.com/books/content?id=KYBGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,88603,Computers,68,"This highly-anticipated, thoroughly updated revision incorporates exciting changes and updates and is perfect for a second course in Java! This new edition now begins where a first course leaves off, ",2026-04-06 16:04:27,2026-04-06 16:04:27,153
B017,Java Programming for Dummies,"Donald J. Koosis, David Koosis",https://books.google.com/books/content?id=mIY_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,81875,Computers,15,A must-have book that shows Web users how to implement rich interactive content and design their own applets for the Internet!-- Covers the programming basics of using Java including hardware and soft,2026-04-06 16:04:27,2026-04-06 16:04:27,64
B018,"Programming JAVA: Java Programming, JavaScript, Coding: Programming Guide: LEARN IN A DAY!",Os Swift,https://books.google.com/books/content?id=Crp_CwAAQBAJ&printsec=frontcover&img=1&zoom=1&fife=w800,136503,Computers,91,"Discover the Easy Way to Learn Java and JavaScript! No matter how much time you spend on other subjects, there's no escaping the fact that you have to learn the basics of computer programming. It take",2026-04-06 16:04:27,2026-04-06 16:04:27,82
B019,Java Programming Basics for the Internet,E. Shane Turner,https://books.google.com/books/content?id=xtHgAAAAMAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,146215,Computers,94,Discover Java on the Web with Java Programming Basics for the Internet. This text teachers readers the basics of Java and how to create Java applets using Microsoft's Visual J++ Developer Studio. This,2026-04-06 16:04:27,2026-04-06 16:04:27,154
B020,Java Programming for the Internet,Michael D. Thomas,https://books.google.com/books/content?id=zodGAAAAYAAJ&printsec=frontcover&img=1&zoom=1&fife=w800,144800,Computers,34,"Java Programming for the Internet gives programmers who wish to write Java ""applets"" a step-by-step approach. Readers learn Java programming techniques, get the tools they need to build real-world int",2026-04-06 16:04:27,2026-04-06 16:04:27,232
